"username","xp","time_played","kills","deaths","kill_streak","targets_destroyed","vehicles_destroyed","soldiers_healed","team_kills","distance_moved","shots_fired","throwables_thrown"
"FREUDS CAT",1113585,44842,129965,7559,436,1623,1403,1563,1690,2109500,1593227,17539
"PSYDROSE",1094092,44018,144618,10275,383,2176,1979,273,2502,2103400,2449289,14140
"SRS",1086090,22619,68352,7189,584,1075,332,141,524,2097500,927056,2084
"GENEROYALE",1082856,21728,56190,4605,366,1191,740,75,2024,1778000,670446,3431
"JET3",1080561,61448,154294,9423,304,3330,2171,366,3352,2114000,2722846,19951
"STAIN",1080001,17416,49188,4407,526,1845,767,96,1465,1848500,681360,5119
"KID_MONSTER",1076651,26578,60293,5409,899,1519,573,304,1349,2101100,999066,3708
"JERSEYFIGHTER",1075355,27970,66736,10339,443,852,654,480,1951,2098600,945522,4105
"DARKYPWNZ",1075057,32832,99707,6700,377,2209,1848,442,3133,2103100,1394184,9919
"Ã¤Â»Â¥Ã¤Â¸ÂÃ¦ÂÂÃ§ÂÂ¾",1074043,21955,113316,1105,797,1499,1041,265,1097,1705500,1360619,6677
"GARNETZ",1073790,72314,121273,12921,683,2406,871,604,2620,2099800,1287435,10258
"HIDDEN_DRIVER",1063069,15306,60203,4288,287,1170,962,67,2330,1258700,880681,4323
"LEMONPOWER",1060039,36166,110627,8406,714,1569,669,74,1239,2098900,1322915,7579
"ZEPHYRANTES",1042984,15779,70625,3295,527,1042,630,42,1302,1600100,672500,2609
"DREADNOUGH",1001810,20334,76152,2553,381,1373,765,408,1590,1727500,1036200,9524
"LUA",968950,19327,94618,4515,1034,885,435,13,818,1168400,639676,2918
"THANSHUHAI",956633,16639,80129,304,1994,1026,509,329,509,1051600,702141,822
"LENNY",926518,21179,87755,1962,4000,1519,1012,126,1342,1915300,956234,2385
"OM",922878,32150,136629,3619,342,2478,1607,793,1576,2100500,1248710,16141
"NOBIO",917672,29321,106479,4792,381,1325,704,172,1474,2097700,1763875,5708
"THRILLSEEKER",908902,23337,90232,914,1078,1269,872,547,946,1832300,691935,2246
"ROCHELLE",893943,12042,95309,443,590,787,631,124,685,825300,913009,1943
"PHLOIDE",881861,42300,139862,11029,297,1531,874,656,1788,2111400,2624575,12313
"IRON_BEN",879612,71323,107145,8869,813,4655,1853,255,4408,2116300,1262770,10039
"SIR. PAIN",868051,50056,109793,10398,254,1669,888,643,3309,2106600,1633333,9741
"IMOMUSHI",857945,39094,96657,7850,352,3377,2351,656,2865,2105800,1686963,14031
"OUTOFMEMORY1",838264,49091,96821,4948,407,1308,1289,710,2774,2105000,1265939,6380
"HELLNO",816837,30505,114656,5229,689,1106,733,66,2573,1689700,615043,2094
"NACALYATOR",809774,49204,114364,5920,465,3106,2128,811,2733,2108800,1665690,10176
"OLD FART",804380,12062,60851,474,406,1251,933,128,1613,1266600,466546,4978
"DKFLA2222",803222,34731,138682,10315,326,1080,808,201,1636,2097700,3271240,9617
"COCONUT135",799941,32985,80246,8266,198,1498,848,280,2209,2104500,1173820,8784
"ASSIMILATOR",796166,31231,89894,7504,345,1557,1162,303,1415,2099500,1261268,14355
"MUKAIJIMA",771359,51518,164010,38852,181,2005,1534,1043,2806,2099000,1883931,52656
"SKATEGRAVITY",759567,21312,78614,4674,407,821,516,329,1060,2003000,1306070,3176
"F2P_MAGGOT",754111,33822,73952,7095,225,1801,1540,702,3817,2099500,831855,9682
"SILVER BACK",704848,43640,99313,11616,175,1210,866,634,1883,2109600,1450966,10484
"MOBIUS STRIP",682653,20941,76685,3661,343,2493,2099,180,1444,1854200,892007,9870
"ESP-PLAYSKULL",678515,18684,78256,1771,839,587,597,305,797,1285400,461662,1948
"BREAD",676873,29880,81108,8928,472,1028,660,534,2853,2099900,1496339,5860
"BED RELT",666734,29690,101888,980,473,784,842,845,408,2100500,2877127,5277
"ZEALOT163",666134,31129,69207,8512,761,2190,1062,413,3171,2102200,806090,5882
"CORBEN DALLAS",661303,40413,102616,12139,373,778,1088,373,1505,2099600,1769610,18918
"BLUE2TH",656473,25718,92391,7995,472,1595,1561,434,1881,2098200,1123702,8385
"DBR0WN",649572,19270,48977,1563,286,937,388,548,1076,1649700,892410,2963
"STEYR",645057,13325,48612,3332,349,934,508,35,732,905500,558810,1861
"RICTUS",644220,39972,151664,3868,829,967,1573,91,1147,1996400,1083916,2863
"MR.MUDE MG",637821,45364,115099,13886,188,590,791,237,2226,2103500,2609752,20750
"DOMEHATOP",636313,15306,67942,2921,554,829,650,78,1566,946900,578350,2895
"MR. GREENBEANMK1",634868,23621,115286,2249,1024,1444,1497,58,865,1715400,488104,3586
"IMUEKZ",626216,43300,75375,7309,432,2000,1315,518,4999,2100200,1183067,7020
"PANZER VOR",623195,20176,68423,2767,528,2044,735,55,1328,2097300,771010,4456
"STEFANOBANG1",620916,32924,64388,4995,315,1059,690,120,2156,2099600,1893101,3859
"MISTAKILL",613573,32337,78974,8280,280,737,648,642,1644,2102400,1092070,5452
"CY@",609568,20539,40652,7601,454,1252,592,77,1498,1992100,511397,5640
"ANZAC_JOE",604330,32131,80154,6835,510,591,972,306,687,1915400,1575816,7048
"ZELF",590227,8020,29406,1868,1640,777,466,36,1298,494100,168495,1400
"EASAN",589478,47746,58012,8621,479,2367,1277,144,5765,2102900,1239325,7641
"WJSLK",588933,23850,94502,8762,469,1817,1654,182,2983,2100900,972326,10138
"TKW",588653,28993,72340,2279,438,1783,1846,156,2462,2098300,706175,12310
":3",587827,41644,82315,15512,443,891,687,784,1654,2103500,1025648,18509
"RANDY UCHIDA",586900,21678,43247,2271,355,1081,868,57,1546,1549300,358425,4281
"LIFY",584376,10423,55702,559,586,880,584,143,686,930900,463710,2597
"CODERNEM",573126,21604,51804,3886,217,561,314,475,714,2097800,729710,1947
"ONLINE SECURITY",560833,12579,46049,2891,296,413,233,33,810,1289500,730146,1057
"A RAGING GYPSY",560773,27741,70449,4591,337,1028,676,199,1644,1951800,928778,8646
"KISETU",560429,17384,65062,4370,662,830,671,116,1124,1275400,686186,5849
"LEETCH42",558966,52955,99737,20206,188,429,650,235,1760,2103000,2722119,12559
"YUKI-NYAN SENPAI",548756,10313,58629,119,1210,536,288,330,292,721800,279078,1099
"DEADMAN123987",547348,22149,42359,2061,249,1196,527,196,1560,2097600,751572,2576
"ZULU-XI",545855,4760,39500,140,12119,146,61,8,59,117300,17391,212
"SPOONALOT",543693,24933,60245,6107,319,990,544,386,892,2040100,814090,7226
"MEMO",535530,20692,58161,4138,406,793,417,39,805,1636200,776799,2587
"HILDEGRIM",528287,25203,80785,6891,272,579,484,246,1119,2099600,1188009,5253
"FALLEN DREAMS",521639,25573,77353,5821,342,707,809,488,1975,2099300,1520456,9001
"N.C.N.N",519347,21421,90638,4500,478,888,589,100,1240,2059100,1099804,5828
"SARGENT WHISKY",519223,21963,60794,4516,325,998,764,417,1434,2054500,951660,6809
"KALISHNAKOV",510635,22863,58256,4302,238,956,748,411,831,1892500,763929,7093
"KDDI",510630,7518,41489,283,2545,601,348,62,581,648100,370680,985
"FOREVERARIA",504448,17083,68103,5940,627,1245,481,76,986,1582100,871923,4291
"ZELI",500393,31176,76619,9080,310,1134,806,594,756,2097500,1252514,9979
"KERMER",497132,15817,56771,2682,328,1076,683,156,1050,1236000,686904,4867
"SUTOPIA",492492,17806,30146,6680,620,1213,395,57,3912,1775900,276577,5976
"ROCKEYE",487377,22286,87329,7523,354,925,763,197,750,1909800,889645,4631
"ONLYNOOBSTRYHARD",484086,7984,30029,1458,504,663,284,73,483,829900,400514,2113
"BLACKSTAR101",481910,21347,47129,2922,293,555,294,102,1202,1786200,1186806,3943
"FAIL PLAYER",481251,25473,62580,6087,258,839,793,758,776,2098500,1445808,6060
"JOHNG",480364,36464,77686,13785,344,628,640,294,1241,2098300,823283,4295
"MARANELLO",477198,35023,104528,3146,1559,1406,1717,91,1944,2097500,606643,13420
"XM177",474266,17153,51519,7500,205,553,430,956,736,1575900,1117525,3600
"LIUSUAN",466326,22381,74694,5285,361,1924,989,160,2564,1843800,1127090,7383
"JAKE S",465740,36258,73889,6543,300,1429,556,277,1479,2104300,1137102,4974
"WILLIAMIONIANA",464553,28556,54620,4361,248,877,532,735,1579,2100100,859071,4609
"NB",461507,13250,36217,1021,334,463,332,196,514,951200,281948,591
"ROKPARATROOPER",459296,17328,55701,3497,273,313,393,255,663,1589300,888099,6279
"CHAPATTI",457816,29394,52623,5905,805,833,457,484,1105,2098400,1184053,2031
"ROD SERLING",450772,14753,42855,3347,350,635,306,118,869,1057300,660610,1678
"KAIKEL",447912,22983,72463,6951,236,754,431,237,693,2097700,1288437,1888
"DUBAYOO",441676,27757,51432,3266,294,1026,694,404,951,2027900,844349,5444
"PHRAL",436044,21193,65762,3862,419,920,749,471,1271,1585000,1184256,4840
"CLOUD18",431702,16301,57107,3558,387,968,524,59,600,1407100,894261,1354
"LONE",430478,18009,78399,8838,237,449,729,131,598,1536600,1353946,9273
"BLACK RABBIT",430277,25501,70556,2115,474,494,989,308,870,2099700,1528118,2702
"CODENAME-FIVE",427077,18789,56592,1526,599,860,345,196,775,1260000,1080070,3644
"PANZER_KATZE",417523,19133,62070,1459,321,638,1027,913,814,1821500,879968,3014
"BEAUTOWNOUTLAW",416748,39016,52362,3637,368,1016,772,669,1780,2100900,902879,5326
"KILROY",416621,19115,50739,5847,272,758,442,375,1098,2020700,871470,6504
